Customer_ID,Segment
CUST-30000,Discount_Seeker
CUST-30001,Regular
CUST-30002,Discount_Seeker
CUST-30003,Regular
CUST-30004,Regular
CUST-30005,One_Time_Buyer
CUST-30006,Discount_Seeker
CUST-30007,Regular
CUST-30008,Regular
CUST-30009,One_Time_Buyer
CUST-30010,Regular
CUST-30011,Regular
CUST-30012,VIP
CUST-30013,VIP
CUST-30014,One_Time_Buyer
CUST-30015,Discount_Seeker
CUST-30016,Regular
CUST-30017,Discount_Seeker
CUST-30018,Regular
CUST-30019,One_Time_Buyer
CUST-30020,One_Time_Buyer
CUST-30021,Regular
CUST-30022,One_Time_Buyer
CUST-30023,Discount_Seeker
CUST-30024,Regular
CUST-30025,Regular
CUST-30026,Regular
CUST-30027,Discount_Seeker
CUST-30028,One_Time_Buyer
CUST-30029,Discount_Seeker
CUST-30030,One_Time_Buyer
CUST-30031,Discount_Seeker
CUST-30032,One_Time_Buyer
CUST-30033,Discount_Seeker
CUST-30034,Regular
CUST-30035,Discount_Seeker
CUST-30036,One_Time_Buyer
CUST-30037,VIP
CUST-30038,One_Time_Buyer
CUST-30039,Regular
CUST-30040,Discount_Seeker
CUST-30041,One_Time_Buyer
CUST-30042,Regular
CUST-30043,Regular
CUST-30044,Regular
CUST-30045,One_Time_Buyer
CUST-30046,VIP
CUST-30047,One_Time_Buyer
CUST-30048,Regular
CUST-30049,One_Time_Buyer
CUST-30050,One_Time_Buyer
CUST-30051,Regular
CUST-30052,Discount_Seeker
CUST-30053,Regular
CUST-30054,Discount_Seeker
CUST-30055,VIP
CUST-30056,VIP
CUST-30057,VIP
CUST-30058,Regular
CUST-30059,Regular
CUST-30060,Discount_Seeker
CUST-30061,One_Time_Buyer
CUST-30062,Regular
CUST-30063,Discount_Seeker
CUST-30064,Regular
CUST-30065,One_Time_Buyer
CUST-30066,One_Time_Buyer
CUST-30067,One_Time_Buyer
CUST-30068,One_Time_Buyer
CUST-30069,VIP
CUST-30070,One_Time_Buyer
